name,category,severity,priority,risk_score,base_severity,cvss_component,exploitability,class_modifier,exposure_score,compliance_score,category_weight,finding_class,state,resource_name,resource_display_name,project_id,project_display_name,cve_id,cvss_score,observed_in_wild,zero_day,public_ip,compliance_frameworks,compliance_violations,event_time,create_time,description,remediation_script_lang,remediation_script
,,LOW,MEDIUM,43.60,10,22.50,20.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2023-44487,7.5,true,true,false,,,,,,,
,,LOW,MEDIUM,38.64,10,24.30,12.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2020-0601,8.1,true,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
,,LOW,MEDIUM,35.20,10,30.00,2.00,2,0.00,0.00,0.8,,ACTIVE,,,,,CVE-2025-68121,10.0,false,false,false,,,,,,,
